iter	Passed	Remaining
1366	2099	1662
1367	2100	1660
1368	2102	1658
1369	2104	1657
1370	2105	1655
1371	2106	1653
1372	2106	1651
1373	2107	1649
1374	2108	1646
1375	2109	1644
1376	2110	1642
1377	2110	1640
1378	2111	1638
1379	2112	1636
1380	2113	1634
1381	2114	1632
1382	2114	1630
1383	2115	1627
1384	2117	1626
1385	2118	1624
1386	2119	1622
1387	2119	1620
1388	2121	1618
1389	2121	1616
1390	2122	1614
1391	2123	1612
1392	2124	1610
1393	2125	1608
1394	2125	1606
1395	2126	1604
1396	2127	1602
1397	2128	1599
1398	2128	1597
1399	2129	1595
1400	2130	1593
1401	2132	1592
1402	2136	1592
1403	2137	1590
1404	2138	1589
1405	2139	1587
1406	2140	1585
1407	2141	1583
1408	2142	1581
1409	2143	1579
1410	2144	1577
1411	2144	1575
1412	2145	1573
1413	2147	1572
1414	2149	1570
1415	2151	1569
1416	2152	1567
1417	2153	1565
1418	2153	1563
1419	2154	1561
1420	2155	1559
1421	2156	1557
1422	2156	1555
1423	2157	1553
1424	2158	1551
1425	2159	1548
1426	2159	1546
1427	2160	1544
1428	2163	1544
1429	2164	1542
1430	2166	1540
1431	2166	1538
1432	2167	1536
1433	2168	1534
1434	2169	1533
1435	2170	1531
1436	2171	1529
1437	2171	1526
1438	2172	1524
1439	2173	1522
1440	2174	1520
1441	2174	1518
1442	2175	1516
1443	2177	1515
1444	2179	1514
1445	2181	1512
1446	2182	1511
1447	2183	1509
1448	2184	1507
1449	2185	1505
1450	2185	1503
1451	2186	1501
1452	2187	1499
1453	2188	1497
1454	2188	1495
1455	2189	1493
1456	2192	1492
1457	2193	1490
1458	2194	1489
1459	2195	1487
1460	2196	1485
1461	2197	1483
1462	2197	1481
1463	2198	1479
1464	2199	1477
1465	2200	1475
1466	2200	1473
1467	2201	1471
1468	2202	1469
1469	2203	1467
1470	2203	1465
1471	2204	1463
1472	2206	1461
1473	2207	1460
1474	2208	1458
1475	2209	1456
1476	2210	1454
1477	2211	1452
1478	2211	1450
1479	2212	1448
1480	2213	1446
1481	2214	1444
1482	2214	1442
1483	2215	1440
1484	2216	1438
1485	2217	1436
1486	2217	1434
1487	2218	1432
1488	2219	1430
1489	2221	1429
1490	2223	1428
1491	2223	1426
1492	2225	1424
1493	2225	1422
1494	2226	1420
1495	2227	1418
1496	2228	1417
1497	2229	1415
1498	2229	1413
1499	2230	1411
1500	2231	1409
1501	2232	1407
1502	2233	1405
1503	2235	1404
1504	2237	1403
1505	2238	1401
1506	2239	1399
1507	2240	1398
1508	2241	1396
1509	2242	1394
1510	2243	1392
1511	2243	1390
1512	2244	1388
1513	2245	1386
1514	2246	1384
1515	2247	1383
1516	2248	1381
1517	2250	1380
1518	2251	1378
1519	2253	1377
1520	2254	1375
1521	2254	1373
1522	2255	1371
1523	2256	1369
1524	2257	1367
1525	2258	1365
1526	2258	1363
1527	2259	1362
1528	2260	1360
1529	2261	1358
1530	2269	1360
1531	2271	1359
1532	2272	1357
1533	2274	1356
1534	2276	1355
1535	2277	1353
1536	2280	1352
1537	2282	1351
1538	2288	1353
1539	2292	1353
1540	2294	1352
1541	2297	1351
1542	2299	1350
1543	2305	1351
1544	2315	1355
1545	2316	1353
1546	2318	1351
1547	2328	1355
1548	2331	1354
1549	2335	1354
1550	2338	1354
1551	2340	1352
1552	2341	1351
1553	2343	1349
1554	2345	1348
1555	2346	1346
1556	2347	1344
1557	2348	1342
1558	2349	1341
1559	2350	1339
1560	2351	1337
1561	2352	1336
1562	2355	1335
1563	2357	1333
1564	2363	1334
1565	2374	1338
1566	2379	1339
1567	2384	1339
1568	2385	1338
1569	2387	1336
1570	2388	1334
1571	2389	1333
1572	2391	1331
1573	2392	1330
1574	2393	1328
1575	2394	1326
1576	2395	1324
1577	2397	1323
1578	2399	1322
1579	2401	1320
1580	2403	1319
1581	2416	1324
1582	2421	1324
1583	2424	1323
1584	2427	1322
1585	2428	1321
1586	2429	1319
1587	2430	1317
1588	2431	1315
1589	2432	1314
1590	2433	1312
1591	2434	1310
1592	2435	1308
1593	2436	1307
1594	2437	1305
1595	2438	1303
1596	2440	1301
1597	2441	1300
1598	2443	1298
1599	2445	1297
1600	2446	1295
1601	2447	1293
1602	2448	1292
1603	2449	1290
1604	2450	1288
1605	2451	1286
1606	2452	1284
1607	2453	1282
1608	2453	1281
1609	2454	1279
1610	2456	1277
1611	2457	1276
1612	2459	1274
1613	2460	1272
1614	2461	1270
1615	2462	1269
1616	2463	1267
1617	2464	1265
1618	2465	1264
1619	2466	1262
1620	2467	1260
1621	2468	1258
1622	2470	1257
1623	2471	1255
1624	2473	1254
1625	2474	1252
1626	2475	1250
1627	2476	1248
1628	2477	1246
1629	2478	1245
1630	2479	1243
1631	2480	1241
1632	2481	1240
1633	2482	1238
1634	2483	1236
1635	2485	1235
1636	2487	1233
1637	2493	1234
1638	2500	1235
1639	2503	1235
1640	2506	1234
1641	2508	1232
1642	2518	1235
1643	2523	1235
1644	2525	1234
1645	2528	1233
1646	2532	1233
1647	2533	1231
1648	2537	1231
1649	2542	1231
1650	2545	1230
1651	2550	1230
1652	2552	1229
1653	2553	1227
1654	2555	1225
1655	2557	1224
1656	2559	1223
1657	2561	1221
1658	2562	1220
1659	2563	1218
1660	2564	1216
1661	2565	1214
1662	2567	1213
1663	2568	1211
1664	2574	1212
1665	2576	1210
1666	2582	1211
1667	2583	1209
1668	2585	1208
1669	2591	1208
1670	2593	1207
1671	2594	1205
1672	2595	1203
1673	2596	1202
1674	2598	1200
1675	2602	1200
1676	2604	1198
1677	2605	1197
1678	2606	1195
1679	2607	1193
1680	2608	1191
1681	2609	1190
1682	2620	1192
1683	2622	1191
1684	2624	1189
1685	2625	1188
1686	2627	1186
1687	2628	1185
1688	2637	1186
1689	2639	1185
1690	2640	1183
1691	2641	1181
1692	2642	1179
1693	2646	1179
1694	2651	1179
1695	2657	1179
1696	2661	1179
1697	2664	1178
1698	2666	1176
1699	2667	1175
1700	2668	1173
1701	2669	1171
1702	2670	1170
1703	2672	1168
1704	2675	1167
1705	2677	1166
1706	2679	1164
1707	2680	1162
1708	2680	1160
1709	2681	1158
1710	2682	1157
1711	2683	1155
1712	2685	1153
